secs,qlen,thru,msrt,items,nset,nget,nmget,sqt,gqt,mqt,swt,gwt,mwt
1,0,21.000000000000,0.900000000000,10,11,10,0,0.000075725636,0.000037433700,NaN,0.079752890000,0.000181784700,NaN
2,0,22.000000000000,1.000000000000,10,12,10,0,0.000055156833,0.000030588000,NaN,0.087714791167,0.000159924900,NaN
3,0,21.000000000000,1.000000000000,10,11,10,0,0.000050617818,0.000026291100,NaN,0.087716872455,0.000151403100,NaN
4,0,20.000000000000,0.800000000000,10,10,10,0,0.000051935500,0.000042606800,NaN,0.087795663500,0.000170016900,NaN
5,0,26.000000000000,0.866666666667,15,11,15,0,0.000047708182,0.000035648800,NaN,0.087730587091,0.000148393000,NaN
6,0,21.000000000000,1.000000000000,10,11,10,0,0.000046678364,0.000032260200,NaN,0.087709094909,0.000138213500,NaN
7,0,21.000000000000,0.800000000000,10,11,10,0,0.000039807455,0.000023493800,NaN,0.087850992545,0.000138115400,NaN
8,0,20.000000000000,0.900000000000,10,10,10,0,0.000036824300,0.000035661500,NaN,0.087833880100,0.000133221100,NaN
9,0,22.000000000000,1.000000000000,10,12,10,0,0.000037426417,0.000022235800,NaN,0.087766561750,0.000121976900,NaN
10,0,26.000000000000,0.933333333333,15,11,15,0,0.000043874636,0.000030152333,NaN,0.087804828364,0.000128418933,NaN
11,0,21.000000000000,1.000000000000,10,11,10,0,0.000033598818,0.000034787800,NaN,0.087686273545,0.000116105400,NaN
12,0,19.000000000000,0.600000000000,10,9,10,0,0.000050226667,0.000041713800,NaN,0.087911340222,0.000158952300,NaN
13,0,21.000000000000,0.800000000000,10,11,10,0,0.000034761364,0.000022372500,NaN,0.087863139818,0.000140864400,NaN
14,0,21.000000000000,0.900000000000,10,11,10,0,0.000032418818,0.000018987100,NaN,0.087843520091,0.000111326100,NaN
15,0,20.000000000000,0.900000000000,10,10,10,0,0.000031799300,0.000014329000,NaN,0.087854129400,0.000109167900,NaN
16,0,20.000000000000,0.700000000000,10,10,10,0,0.000033052600,0.000032849200,NaN,0.087877205700,0.000173589800,NaN
17,0,21.000000000000,0.800000000000,10,11,10,0,0.000039592091,0.000024551900,NaN,0.087867714909,0.000123686900,NaN
18,0,21.000000000000,1.000000000000,10,11,10,0,0.000031436909,0.000021633500,NaN,0.087758224818,0.000117348300,NaN
19,0,22.000000000000,0.818181818182,11,11,11,0,0.000034072000,0.000026421364,NaN,0.087814391455,0.000125399273,NaN
20,0,20.000000000000,0.700000000000,10,10,10,0,0.000036508700,0.000015698700,NaN,0.087868975500,0.000121811500,NaN
21,0,24.000000000000,0.857142857143,14,10,14,0,0.000037761100,0.000025229214,NaN,0.087789135000,0.000158456214,NaN
